StationCode,isSWMP,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
niwcbwq   ,P,5/8/2023 18:15,,24.7,<0> ,41.28,<0> ,26.4,<0> ,80.3,<0> ,5.7,<0> ,1,<0> ,0.99,<3> ,7.5,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 18:30,,24.7,<0> ,40.97,<0> ,26.2,<0> ,79.3,<0> ,5.7,<0> ,1.1,<0> ,1.09,<3> ,7.5,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 18:45,,24.8,<0> ,43.49,<0> ,28,<0> ,78.1,<0> ,5.5,<0> ,1.2,<0> ,1.19,<3> ,7.5,<0> ,18,<0> 
niwcbwq   ,P,5/8/2023 19:00,,24.6,<0> ,43.28,<0> ,27.9,<0> ,78.6,<0> ,5.6,<0> ,1.3,<0> ,1.29,<3> ,7.5,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 19:15,,24.2,<0> ,46.78,<0> ,30.4,<0> ,77.5,<0> ,5.5,<0> ,1.41,<0> ,1.4,<3> ,7.5,<0> ,22,<0> 
niwcbwq   ,P,5/8/2023 19:30,,23.8,<0> ,47.65,<0> ,31,<0> ,81.6,<0> ,5.8,<0> ,1.51,<0> ,1.5,<3> ,7.6,<0> ,24,<0> 
niwcbwq   ,P,5/8/2023 19:45,,23.8,<0> ,47.79,<0> ,31.1,<0> ,82.7,<0> ,5.9,<0> ,1.59,<0> ,1.58,<3> ,7.6,<0> ,22,<0> 
niwcbwq   ,P,5/8/2023 20:00,,23.6,<0> ,48.4,<0> ,31.6,<0> ,85,<0> ,6,<0> ,1.66,<0> ,1.64,<3> ,7.6,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 20:15,,23.3,<0> ,49.01,<0> ,32,<0> ,89.2,<0> ,6.3,<0> ,1.73,<0> ,1.71,<3> ,7.7,<0> ,17,<0> 
niwcbwq   ,P,5/8/2023 20:30,,22.7,<0> ,50.45,<0> ,33.1,<0> ,96.4,<0> ,6.9,<0> ,1.8,<0> ,1.78,<3> ,7.9,<0> ,20,<0> 
niwcbwq   ,P,5/8/2023 20:45,,22.4,<0> ,51.44,<0> ,33.9,<0> ,98.1,<0> ,7,<0> ,1.86,<0> ,1.84,<3> ,8,<0> ,17,<0> 
niwcbwq   ,P,5/8/2023 21:00,,22,<0> ,51.97,<0> ,34.2,<0> ,96.8,<0> ,6.9,<0> ,1.93,<0> ,1.91,<3> ,8,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 21:15,,21.9,<0> ,52.18,<0> ,34.4,<0> ,96.7,<0> ,6.9,<0> ,1.99,<0> ,1.97,<3> ,8,<0> ,14,<0> 
niwcbwq   ,P,5/8/2023 21:30,,21.8,<0> ,52.26,<0> ,34.5,<0> ,96.4,<0> ,6.9,<0> ,2.06,<0> ,2.04,<3> ,8,<0> ,14,<0> 
niwcbwq   ,P,5/8/2023 21:45,,21.7,<0> ,52.3,<0> ,34.5,<0> ,95.8,<0> ,6.9,<0> ,2.11,<0> ,2.09,<3> ,8,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 22:00,,21.7,<0> ,52.34,<0> ,34.5,<0> ,95.3,<0> ,6.9,<0> ,2.16,<0> ,2.15,<3> ,8,<0> ,17,<0> 
niwcbwq   ,P,5/8/2023 22:15,,21.6,<0> ,52.35,<0> ,34.5,<0> ,95.1,<0> ,6.9,<0> ,2.19,<0> ,2.18,<3> ,8,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 22:30,,21.6,<0> ,52.35,<0> ,34.5,<0> ,94.6,<0> ,6.8,<0> ,2.21,<0> ,2.2,<3> ,8,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 22:45,,21.6,<0> ,52.35,<0> ,34.5,<0> ,94.1,<0> ,6.8,<0> ,2.21,<0> ,2.2,<3> ,8,<0> ,11,<0> 
niwcbwq   ,P,5/8/2023 23:00,,21.6,<0> ,52.32,<0> ,34.5,<0> ,92.7,<0> ,6.7,<0> ,2.19,<0> ,2.18,<3> ,8,<0> ,8,<0> 
niwcbwq   ,P,5/8/2023 23:15,,21.6,<0> ,52.31,<0> ,34.5,<0> ,93,<0> ,6.7,<0> ,2.16,<0> ,2.15,<3> ,8,<0> ,12,<0> 
niwcbwq   ,P,5/8/2023 23:30,,21.6,<0> ,52.28,<0> ,34.5,<0> ,91.5,<0> ,6.6,<0> ,2.13,<0> ,2.12,<3> ,8,<0> ,9,<0> 
niwcbwq   ,P,5/8/2023 23:45,,21.6,<0> ,52.24,<0> ,34.4,<0> ,89.5,<0> ,6.5,<0> ,2.09,<0> ,2.08,<3> ,8,<0> ,8,<0> 
niwcbwq   ,P,5/9/2023 0:00,,21.7,<0> ,52.08,<0> ,34.3,<0> ,88.5,<0> ,6.4,<0> ,2.04,<0> ,2.03,<3> ,8,<0> ,9,<0> 
niwcbwq   ,P,5/9/2023 0:15,,21.7,<0> ,51.87,<0> ,34.2,<0> ,86.1,<0> ,6.2,<0> ,1.98,<0> ,1.97,<3> ,7.9,<0> ,10,<0> 
niwcbwq   ,P,5/9/2023 0:30,,21.8,<0> ,51.62,<0> ,34,<0> ,81.5,<0> ,5.9,<0> ,1.91,<0> ,1.9,<3> ,7.9,<0> ,10,<0> 
niwcbwq   ,P,5/9/2023 0:45,,21.9,<0> ,51.27,<0> ,33.7,<0> ,77.1,<0> ,5.6,<0> ,1.84,<0> ,1.83,<3> ,7.8,<0> ,12,<0> 
niwcbwq   ,P,5/9/2023 1:00,,22,<0> ,50.87,<0> ,33.4,<0> ,75.3,<0> ,5.4,<0> ,1.78,<0> ,1.77,<3> ,7.8,<0> ,14,<0> 
niwcbwq   ,P,5/9/2023 1:15,,22.1,<0> ,50.43,<0> ,33.1,<0> ,72.6,<0> ,5.2,<0> ,1.7,<0> ,1.69,<3> ,7.7,<0> ,14,<0> 
niwcbwq   ,P,5/9/2023 1:30,,22.2,<0> ,50.03,<0> ,32.8,<0> ,69.7,<0> ,5,<0> ,1.63,<0> ,1.62,<3> ,7.7,<0> ,14,<0> 
niwcbwq   ,P,5/9/2023 1:45,,22.3,<0> ,49.55,<0> ,32.5,<0> ,67.9,<0> ,4.9,<0> ,1.56,<0> ,1.56,<3> ,7.7,<0> ,15,<0> 
niwcbwq   ,P,5/9/2023 2:00,,22.4,<0> ,48.95,<0> ,32,<0> ,63.9,<0> ,4.6,<0> ,1.47,<0> ,1.47,<3> ,7.6,<0> ,15,<0> 
